Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
2020-03-22,Israel,1268.0,1.0,19.0,1033.0,352.0,0.0,7.0
2020-03-23,Israel,1620.0,1.0,26.0,1400.0,423.0,3.0,5.0
2020-03-24,Israel,2043.0,4.0,31.0,1874.0,425.0,1.0,6.0
2020-03-25,Israel,2468.0,5.0,37.0,2306.0,520.0,5.0,12.0
2020-03-26,Israel,2988.0,10.0,49.0,2617.0,433.0,2.0,20.0
2020-03-27,Israel,3421.0,12.0,69.0,2944.0,480.0,1.0,15.0
2020-03-28,Israel,3901.0,13.0,84.0,3518.0,532.0,3.0,21.0
2020-03-29,Israel,4433.0,16.0,105.0,4100.0,546.0,1.0,42.0
2020-03-30,Israel,4979.0,17.0,147.0,4518.0,738.0,4.0,63.0
2020-03-31,Israel,5717.0,21.0,210.0,5114.0,696.0,8.0,285.0
2020-04-01,Israel,6413.0,29.0,495.0,5825.0,719.0,9.0,102.0
2020-04-02,Israel,7132.0,38.0,597.0,6483.0,597.0,5.0,70.0
2020-04-03,Israel,7729.0,43.0,667.0,6985.0,428.0,6.0,50.0
2020-04-04,Israel,8157.0,49.0,717.0,7380.0,583.0,7.0,103.0
2020-04-05,Israel,8740.0,56.0,820.0,7904.0,451.0,8.0,119.0
2020-04-06,Israel,9191.0,64.0,939.0,8262.0,377.0,8.0,120.0
2020-04-07,Israel,9568.0,72.0,1059.0,8413.0,338.0,8.0,132.0
2020-04-08,Israel,9906.0,80.0,1191.0,8530.0,343.0,9.0,115.0
2020-04-09,Israel,10249.0,89.0,1306.0,8871.0,358.0,8.0,154.0
2020-04-10,Israel,10607.0,97.0,1460.0,9130.0,345.0,6.0,151.0
2020-04-11,Israel,10952.0,103.0,1611.0,9301.0,552.0,6.0,298.0
2020-04-12,Israel,11504.0,109.0,1909.0,9415.0,438.0,9.0,319.0
2020-04-13,Israel,11942.0,118.0,2228.0,9615.0,399.0,8.0,323.0
2020-04-14,Israel,12341.0,126.0,2551.0,9728.0,311.0,13.0,272.0
2020-04-15,Israel,12652.0,139.0,2823.0,9808.0,296.0,7.0,351.0
2020-04-16,Israel,12948.0,146.0,3174.0,9798.0,298.0,9.0,376.0
2020-04-17,Israel,13246.0,155.0,3550.0,9705.0,291.0,11.0,270.0
2020-04-18,Israel,13537.0,166.0,3820.0,9645.0,276.0,8.0,408.0
2020-04-19,Israel,13813.0,174.0,4228.0,9565.0,299.0,6.0,459.0
2020-04-20,Israel,14112.0,180.0,4687.0,9487.0,282.0,9.0,416.0
2020-04-21,Israel,14394.0,189.0,5103.0,9251.0,225.0,3.0,411.0
2020-04-22,Israel,14619.0,192.0,5514.0,9094.0,276.0,4.0,352.0
2020-04-23,Israel,14895.0,196.0,5866.0,9000.0,248.0,3.0,425.0
2020-04-24,Israel,15143.0,199.0,6291.0,8861.0,159.0,3.0,364.0
2020-04-25,Israel,15302.0,202.0,6655.0,8664.0,83.0,2.0,432.0
2020-04-26,Israel,15385.0,204.0,7087.0,8511.0,128.0,4.0,548.0
2020-04-27,Israel,15513.0,208.0,7635.0,8151.0,159.0,5.0,483.0
2020-04-28,Israel,15672.0,213.0,8118.0,7772.0,82.0,6.0,353.0
2020-04-29,Israel,15754.0,219.0,8471.0,7386.0,142.0,6.0,453.0
2020-04-30,Israel,15896.0,225.0,8924.0,7163.0,116.0,4.0,469.0
2020-05-01,Israel,16012.0,229.0,9393.0,6720.0,57.0,3.0,218.0
2020-05-02,Israel,16069.0,232.0,9611.0,6363.0,27.0,3.0,334.0
2020-05-03,Israel,16096.0,235.0,9945.0,6227.0,53.0,3.0,288.0
2020-05-04,Israel,16149.0,238.0,10233.0,5947.0,32.0,2.0,328.0
2020-05-05,Israel,16181.0,240.0,10561.0,5586.0,65.0,1.0,282.0
2020-05-06,Israel,16246.0,241.0,10843.0,5434.0,61.0,1.0,260.0
2020-05-07,Israel,16307.0,242.0,11103.0,5268.0,33.0,6.0,215.0
2020-05-08,Israel,16340.0,248.0,11318.0,4962.0,19.0,3.0,84.0
2020-05-09,Israel,16359.0,251.0,11402.0,4831.0,29.0,4.0,247.0
2020-05-10,Israel,16388.0,255.0,11649.0,4795.0,39.0,5.0,291.0
2020-05-11,Israel,16427.0,260.0,11940.0,4405.0,23.0,3.0,255.0
2020-05-12,Israel,16450.0,263.0,12195.0,4186.0,39.0,3.0,203.0
